file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI5419UFDQ	processed	IGVFDS8787ULTU	C38	0	C38:0	alignments	bam	47102717092	e5007f2a43d3298015dfadaa8f2748ca	https://api.data.igvf.org/alignment-files/IGVFFI5419UFDQ/@@download/IGVFFI5419UFDQ.bam	s3://igvf-public/2026/01/28/2ab274a3-0868-4b93-83ae-5edfb2de143f/IGVFFI5419UFDQ.bam
IGVFFI8384WVZL	processed	IGVFDS8787ULTU	C38	0	C38:0	cell by bin methylation count matrix	h5ad	78719504	c4ff5fa53ebc74be90ea3c3277170eb3	https://api.data.igvf.org/matrix-files/IGVFFI8384WVZL/@@download/IGVFFI8384WVZL.h5ad	s3://igvf-public/2026/01/28/991107b6-5538-46d2-9ff7-fbf131a5882a/IGVFFI8384WVZL.h5ad
IGVFFI9426PSZP	processed	IGVFDS8787ULTU	C38	0	C38:0	cell by gene matrix	h5ad	49853892	6b5b3da9c63b9966dc8418123def5afa	https://api.data.igvf.org/matrix-files/IGVFFI9426PSZP/@@download/IGVFFI9426PSZP.h5ad	s3://igvf-public/2026/01/28/f18abfbe-f86f-4b63-8ef4-8de9a68af74d/IGVFFI9426PSZP.h5ad
IGVFFI4715KVMU	processed	IGVFDS8787ULTU	C38	0	C38:0	cell by position methylation count matrix	h5ad	11232728648	e3fb5ba57758972963a69a07a9e5f89a	https://api.data.igvf.org/matrix-files/IGVFFI4715KVMU/@@download/IGVFFI4715KVMU.h5ad	s3://igvf-public/2026/02/17/24e8033d-ac55-4a26-b88a-5fac658701e6/IGVFFI4715KVMU.h5ad
IGVFFI7188ZHOK	processed	IGVFDS8787ULTU	C38	0	C38:0	methylation counts	tsv	151926491	29231191ca4c95bc2b41ce3a83d9bd02	https://api.data.igvf.org/tabular-files/IGVFFI7188ZHOK/@@download/IGVFFI7188ZHOK.tsv.gz	s3://igvf-public/2026/01/28/f680caca-ca0f-4e49-bf47-f43d8b94e4ba/IGVFFI7188ZHOK.tsv.gz
IGVFFI7700LBWK	processed	IGVFDS8787ULTU	C38	0	C38:0	per-cell quality report	tsv	776035	636bbe5dcac8eb727eddee39428dec72	https://api.data.igvf.org/tabular-files/IGVFFI7700LBWK/@@download/IGVFFI7700LBWK.tsv.gz	s3://igvf-public/2026/07/31/c66663e7-ec0f-4f06-84ef-319152a629b5/IGVFFI7700LBWK.tsv.gz
IGVFFI3552XPTM	processed	IGVFDS7824ICDV	C38	12	C38:12	alignments	bam	2732432519	9feb941b9fe9c9ba0c8b37da659a28e9	https://api.data.igvf.org/alignment-files/IGVFFI3552XPTM/@@download/IGVFFI3552XPTM.bam	s3://igvf-public/2026/02/03/6d45805a-1122-4ffe-80ee-eada9b54c106/IGVFFI3552XPTM.bam
IGVFFI6703YXMV	processed	IGVFDS7824ICDV	C38	12	C38:12	alignments	bam	45385301725	4bdf64fa846e4d53d68687469276f0ce	https://api.data.igvf.org/alignment-files/IGVFFI6703YXMV/@@download/IGVFFI6703YXMV.bam	s3://igvf-public/2026/01/28/74d4712c-6ce9-4712-89cf-8730681b8c37/IGVFFI6703YXMV.bam
IGVFFI0245BAPP	processed	IGVFDS7824ICDV	C38	12	C38:12	cell by bin methylation count matrix	h5ad	40042256	c0f3ea75105d9e746ed46332d5d6a38f	https://api.data.igvf.org/matrix-files/IGVFFI0245BAPP/@@download/IGVFFI0245BAPP.h5ad	s3://igvf-public/2026/01/28/25377896-799f-4330-a835-9b16c3705ebc/IGVFFI0245BAPP.h5ad
IGVFFI2515HXZL	processed	IGVFDS7824ICDV	C38	12	C38:12	cell by gene matrix	h5ad	29158504	b34e53ffa3af261bed3178f905f82e76	https://api.data.igvf.org/matrix-files/IGVFFI2515HXZL/@@download/IGVFFI2515HXZL.h5ad	s3://igvf-public/2026/01/28/8fbaac3b-a61f-4411-ba36-97b34838f8b0/IGVFFI2515HXZL.h5ad
