file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0684FKAF	processed	IGVFDS3033QDGY	C38	12	C38:12	cell by bin contact matrix	mcool	177498959	5f35de7344518d0f9b5a1c7a1857b8da	https://api.data.igvf.org/matrix-files/IGVFFI0684FKAF/@@download/IGVFFI0684FKAF.mcool	s3://igvf-public/2026/01/28/a7be56e0-455d-4a47-9d64-5d0f91de0843/IGVFFI0684FKAF.mcool
IGVFFI3141BEIO	processed	IGVFDS3033QDGY	C38	12	C38:12	cell by bin methylation count matrix	h5ad	97958722	1bf4b4789764ab9ae6d3b5195e734268	https://api.data.igvf.org/matrix-files/IGVFFI3141BEIO/@@download/IGVFFI3141BEIO.h5ad	s3://igvf-public/2026/01/28/5b73ae4a-b9a5-4b47-a211-e428e03bb3c1/IGVFFI3141BEIO.h5ad
IGVFFI0620CKMY	processed	IGVFDS3033QDGY	C38	12	C38:12	cell by position methylation count matrix	h5ad	11398075976	d7cd043586b77be691ab6cfb685e95e9	https://api.data.igvf.org/matrix-files/IGVFFI0620CKMY/@@download/IGVFFI0620CKMY.h5ad	s3://igvf-public/2026/02/17/e6d172d3-dbea-48be-84d9-aca286940e53/IGVFFI0620CKMY.h5ad
IGVFFI2226QPWY	processed	IGVFDS3033QDGY	C38	12	C38:12	chromatin contact quantifications	bedpe	4584776977	e25e677faa9a679fab84d627d3d95359	https://api.data.igvf.org/tabular-files/IGVFFI2226QPWY/@@download/IGVFFI2226QPWY.bedpe.gz	s3://igvf-public/2026/01/28/fb336666-af51-4707-8006-27d878970ba0/IGVFFI2226QPWY.tsv.gz
IGVFFI1978LCYE	processed	IGVFDS3033QDGY	C38	12	C38:12	index	tbi	2243910	0f3c8acf9a5a2cf152ea761537566b54	https://api.data.igvf.org/index-files/IGVFFI1978LCYE/@@download/IGVFFI1978LCYE.tbi	s3://igvf-public/2026/03/26/6ce28122-1747-44c3-94d8-c8f1d51c9fd2/IGVFFI1978LCYE.tbi
IGVFFI1830ZUEA	processed	IGVFDS3033QDGY	C38	12	C38:12	methylation counts	tsv	156862301	9b498ebf3a461483d63ae6b8f3e7fb96	https://api.data.igvf.org/tabular-files/IGVFFI1830ZUEA/@@download/IGVFFI1830ZUEA.tsv.gz	s3://igvf-public/2026/01/28/e853aaa3-4053-4fa4-9f7a-2cabc9cb35f9/IGVFFI1830ZUEA.tsv.gz
IGVFFI3650VAEV	processed	IGVFDS3033QDGY	C38	12	C38:12	per-cell quality report	tsv	314665	b6e66dd8d1fa7eace4cc1d353c18bee7	https://api.data.igvf.org/tabular-files/IGVFFI3650VAEV/@@download/IGVFFI3650VAEV.tsv.gz	s3://igvf-public/2026/07/31/576abda9-d1d4-4f0c-b14f-b42387a65705/IGVFFI3650VAEV.tsv.gz
IGVFFI2499GUNF	processed	IGVFDS6644XMIF	C38	14	C38:14	alignments	bam	51866736592	e214ffd9d7e147f74cde6bfd82d01287	https://api.data.igvf.org/alignment-files/IGVFFI2499GUNF/@@download/IGVFFI2499GUNF.bam	s3://igvf-public/2026/01/28/db0008fa-a081-411e-b960-314aae717f7c/IGVFFI2499GUNF.bam
IGVFFI4529LOLF	processed	IGVFDS6644XMIF	C38	14	C38:14	cell by bin contact matrix	mcool	116386852	5a86f7f7c3a3f809dae65d2b400abfb3	https://api.data.igvf.org/matrix-files/IGVFFI4529LOLF/@@download/IGVFFI4529LOLF.mcool	s3://igvf-public/2026/01/28/87c6e816-8dae-4988-972d-881159bf47fa/IGVFFI4529LOLF.mcool
IGVFFI1653CSWL	processed	IGVFDS6644XMIF	C38	14	C38:14	cell by bin methylation count matrix	h5ad	97958722	18f21601006b2fe57348e923ddb8199d	https://api.data.igvf.org/matrix-files/IGVFFI1653CSWL/@@download/IGVFFI1653CSWL.h5ad	s3://igvf-public/2026/01/28/63820f3f-04bd-4db8-9e8a-1d82b008ea05/IGVFFI1653CSWL.h5ad
IGVFFI2571QMOZ	processed	IGVFDS6644XMIF	C38	14	C38:14	cell by position methylation count matrix	h5ad	10175064808	85c2075c2df3625467ba12173b9601b6	https://api.data.igvf.org/matrix-files/IGVFFI2571QMOZ/@@download/IGVFFI2571QMOZ.h5ad	s3://igvf-public/2026/02/17/e85e6e3d-355c-4f2e-b4c2-57264e973a9b/IGVFFI2571QMOZ.h5ad
IGVFFI1024BYCQ	processed	IGVFDS6644XMIF	C38	14	C38:14	chromatin contact quantifications	bedpe	3717282774	b46acb00219f78e60a8c90cae52c19b6	https://api.data.igvf.org/tabular-files/IGVFFI1024BYCQ/@@download/IGVFFI1024BYCQ.bedpe.gz	s3://igvf-public/2026/01/28/3a537658-3506-4ed6-a9be-5a413d607b2e/IGVFFI1024BYCQ.tsv.gz
IGVFFI8883BSZZ	processed	IGVFDS6644XMIF	C38	14	C38:14	index	tbi	2147900	7467770b7552836f478d35d8a6e0bf4b	https://api.data.igvf.org/index-files/IGVFFI8883BSZZ/@@download/IGVFFI8883BSZZ.tbi	s3://igvf-public/2026/03/26/d3095035-76bc-445d-8fbb-b4511c907cb7/IGVFFI8883BSZZ.tbi
