file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI9836RRTU	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1718431486	a56079225fc10f7529ae269ec7c66c5a	https://api.data.igvf.org/sequence-files/IGVFFI9836RRTU/@@download/IGVFFI9836RRTU.fastq.gz	s3://igvf-public/2026/08/06/ee51f297-bf20-4480-91da-04abfe2d79ed/IGVFFI9836RRTU.fastq.gz
IGVFFI0276QBKF	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1578379230	25a6ea947e02d9fc49626a2113eb9b5b	https://api.data.igvf.org/sequence-files/IGVFFI0276QBKF/@@download/IGVFFI0276QBKF.fastq.gz	s3://igvf-public/2026/08/06/be8f8328-fd74-4654-8d75-d92dceead2f0/IGVFFI0276QBKF.fastq.gz
IGVFFI0351HCNW	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1670322666	ec634e5b9169bee93df84c21cdc6d6ba	https://api.data.igvf.org/sequence-files/IGVFFI0351HCNW/@@download/IGVFFI0351HCNW.fastq.gz	s3://igvf-public/2026/08/05/c50da94c-ca4f-4250-99c6-b49721a60ca3/IGVFFI0351HCNW.fastq.gz
IGVFFI0392YIPJ	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1562232011	69807ac22df979cf66ae52619d9de353	https://api.data.igvf.org/sequence-files/IGVFFI0392YIPJ/@@download/IGVFFI0392YIPJ.fastq.gz	s3://igvf-public/2026/08/06/a58764e6-dca4-4adc-a9c9-18aac1a0a4c7/IGVFFI0392YIPJ.fastq.gz
IGVFFI0423YEUR	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1757616564	cead9e15125e5d9432a6015454ce135f	https://api.data.igvf.org/sequence-files/IGVFFI0423YEUR/@@download/IGVFFI0423YEUR.fastq.gz	s3://igvf-public/2026/08/05/06756adf-315a-4a04-a06c-62aa1221b589/IGVFFI0423YEUR.fastq.gz
IGVFFI0740QTUT	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1656178559	60d9dcf7db5a5ae0b9ebe1bfff9b77bb	https://api.data.igvf.org/sequence-files/IGVFFI0740QTUT/@@download/IGVFFI0740QTUT.fastq.gz	s3://igvf-public/2026/08/05/28930618-34f2-4b8c-8f4d-fabf385826a7/IGVFFI0740QTUT.fastq.gz
IGVFFI0910TCCP	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1665506518	7ae12d321be3390c0e5b4c555b31fae9	https://api.data.igvf.org/sequence-files/IGVFFI0910TCCP/@@download/IGVFFI0910TCCP.fastq.gz	s3://igvf-public/2026/08/05/b41f63ec-4ca8-4a39-bb64-fd19ba0e2a0c/IGVFFI0910TCCP.fastq.gz
IGVFFI1732FPBZ	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1653251382	52a7c0970b29ac0807d99180a050d4ac	https://api.data.igvf.org/sequence-files/IGVFFI1732FPBZ/@@download/IGVFFI1732FPBZ.fastq.gz	s3://igvf-public/2026/08/05/d6b1fd8b-1443-4c65-83bf-a48e6fb37e93/IGVFFI1732FPBZ.fastq.gz
IGVFFI1994YANQ	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1729633652	b6a9c7c1d3217c35db39e90e70e23b3c	https://api.data.igvf.org/sequence-files/IGVFFI1994YANQ/@@download/IGVFFI1994YANQ.fastq.gz	s3://igvf-public/2026/08/05/221af7ff-5831-4e85-8da9-5dd51d7ccf2d/IGVFFI1994YANQ.fastq.gz
IGVFFI2274AOTZ	raw	IGVFDS6852SKAC	C38	0	reads	fastq	1519957663	62cf404914d5fb2c5c6ae49de90e6972	https://api.data.igvf.org/sequence-files/IGVFFI2274AOTZ/@@download/IGVFFI2274AOTZ.fastq.gz	s3://igvf-public/2026/08/06/db7dfd89-8c7c-4538-ac1a-f7aa7d5f1c23/IGVFFI2274AOTZ.fastq.gz
